Job_Title,Location,Salary,Monthly_Salary,Locality,State
Data Entry Operator - Production,"Silvassa, Dadra and Nagar Haveli","₹15,000 - ₹20,000 a month",17500.0,Remote,Dadra and Nagar Haveli
Assistant Supervisor,Remote,"₹15,000 - ₹20,000 a month",17500.0,Remote,Remote
DATA PROCESSING,"Shastripuram, Agra, Uttar Pradesh","From ₹10,000 a month",19250.0,Shastripuram,Uttar Pradesh
Intern - Computer Vision / Deep Learning,Remote,"₹60,000 - ₹1,20,000 a year",90000.0,Remote,Remote
Business Development Executive,Remote,"₹8,000 - ₹10,000 a month",9000.0,Remote,Remote
Billing Associate,"Bengaluru, Karnataka",Not specified,19250.0,Remote,Karnataka
Team Member,"Kazhakuttam, Kerala","₹10,000 - ₹18,000 a month",14000.0,Remote,Kerala
Business Development Associate,"Goregaon, Mumbai, Maharashtra","₹25,000 - ₹30,000 a month",27500.0,Goregaon,Maharashtra
Accountant Trainee,"Kochi, Kerala","₹15,000 - ₹30,000 a month",22500.0,Remote,Kerala
Brand Face,"Gurugram, Haryana","₹10,000 - ₹30,000 a month",20000.0,Remote,Haryana
Content Writing Intern,"Ernakulam District, Kerala",Not specified,19250.0,Remote,Kerala
Passenger Services Supervisor,"Bhubaneswar, Orissa","₹19,367.31 - ₹32,480.22 a month",25923.765,Remote,Orissa
Fresher 2023 | Business Analyst,"Chennai, Tamil Nadu",Not specified,19250.0,Remote,Tamil Nadu
Video Editor,Remote,"₹8,000 - ₹12,000 a month",10000.0,Remote,Remote
Physiotherapist,"Mumbai, Maharashtra","₹12,604.66 - ₹40,233.68 a month",26419.17,Remote,Maharashtra
Online Mathematics Teacher,"Bengaluru, Karnataka",₹200 - ₹500 an hour,19250.0,Remote,Karnataka
Freelance Content Writer,Remote,"From ₹9,000 a month",19250.0,Remote,Remote
Trainee Auditor,"Mangalore, Karnataka","₹16,500 - ₹20,000 a month",18250.0,Remote,Karnataka
International Non Voice Process,"Bengaluru, Karnataka",Not specified,19250.0,Remote,Karnataka
PROBATIONARY OFFICER,"Coimbatore, Tamil Nadu","From ₹18,000 a month",19250.0,Remote,Tamil Nadu
bell Boy/Girl,"Kodaikanal, Tamil Nadu","From ₹13,000 a month",19250.0,Remote,Tamil Nadu
Game Designer - Intern,"Pune, Maharashtra",Not specified,19250.0,Remote,Maharashtra
Business Analyst with an Experienced and Freshers also,Puducherry,Not specified,19250.0,Puducherry,Puducherry
Exam Invigilator,"Tirupati, Andhra Pradesh","₹10,000 - ₹18,000 a month",14000.0,Remote,Andhra Pradesh
HR Recruiter,Remote,"₹12,000 - ₹15,000 a month",13500.0,Remote,Remote
Digital Marketing Executives (Freshers),"Calicut, Kerala",Not specified,19250.0,Remote,Kerala
Warehouse Executive,"Manali, Chennai, Tamil Nadu","₹12,000 - ₹20,000 a month",16000.0,Manali,Tamil Nadu
Billing Executive,"Nilambur, Kerala","₹9,000 - ₹14,000 a month",11500.0,Remote,Kerala
Private Tutor,"Bengaluru, Karnataka","₹15,000 - ₹45,000 a month",30000.0,Remote,Karnataka
Customer Care Executive - Hindi Must,"Chennai, Tamil Nadu","From ₹15,000 a month",19250.0,Remote,Tamil Nadu
EDUCATION COUNSELLOR,"Thrissur, Kerala","₹15,000 - ₹25,000 a month",20000.0,Remote,Kerala
Fashion Designer,"Kolkata, West Bengal",Not specified,19250.0,Remote,West Bengal
Computer operator,"Barmer, Rajasthan",Not specified,19250.0,Remote,Rajasthan
Trainee,Remote,"₹10,000 - ₹12,000 a month",11000.0,Remote,Remote
Warehouse Associate,"Kochi, Kerala","₹14,000 - ₹14,787 a month",14393.5,Remote,Kerala
Accademic Counsellor,"Thrissur, Kerala","₹12,000 - ₹20,000 a month",16000.0,Remote,Kerala
Medical Coder Trainee,"Thiruvananthapuram, Kerala","₹15,000 - ₹25,000 a month",20000.0,Remote,Kerala
Fresh Graduate,"Talegaon Dabhade, Pune, Maharashtra","₹17,500 - ₹21,000 a month",19250.0,Talegaon Dabhade,Maharashtra
Management Trainee,"Janakpuri, Delhi, Delhi","₹18,000 - ₹25,000 a month",21500.0,Janakpuri,Delhi
Customer Service Executive,"Dharmsala, Himachal Pradesh","₹10,000 - ₹12,000 a month",11000.0,Remote,Himachal Pradesh
Delivery Drivers / Delivery Executives / Delivery Boys / Freshers,"Ahmedabad, Gujarat","Up to ₹30,000 a month",19250.0,Remote,Gujarat
Pizza hut- Team Member,"Aluva, Kerala","Up to ₹10,500 a month",19250.0,Remote,Kerala
Trainee Associate,"Karimnagar, Telangana","₹12,000 - ₹17,000 a month",14500.0,Remote,Telangana
Data Entry Executive (delhi only),"Delhi, Delhi","Up to ₹12,500 a month",19250.0,Remote,Delhi
Trainee Architect,"Delhi, Delhi","₹15,039.68 - ₹67,972.53 a month",41506.105,Remote,Delhi
Delivery Partner/Delivery Executive,"Goa, Goa","₹25,000 - ₹40,000 a month",32500.0,Remote,Goa
Research Trainee,"Mumbai, Maharashtra","₹20,000 - ₹25,000 a month",22500.0,Remote,Maharashtra
"Graphic Designer (Vesu, Surat)","Athwa, Surat, Gujarat","₹1,75,000 - ₹2,50,000 a year",212500.0,Athwa,Gujarat
Fresher required (operations),"Noida, Uttar Pradesh","₹15,000 - ₹20,000 a month",17500.0,Remote,Uttar Pradesh
"High School Teacher, IT","Himayatnagar, Hyderabad, Telangana","From ₹15,000 a month",19250.0,Himayatnagar,Telangana
Trainee Digital Marketer,Kerala,"₹5,000 - ₹7,000 a month",6000.0,Kerala,Kerala
Video Editor,"Kochi, Kerala","₹15,000 - ₹20,000 a month",17500.0,Remote,Kerala
Wardens,"Bengaluru, Karnataka",Not specified,19250.0,Remote,Karnataka
Sand plant operator(Fresher also can apply)Location- Howrah,"Howrah, West Bengal","₹15,000 - ₹17,000 a month",16000.0,Remote,West Bengal
Recruiter (0-2 YEARS),Remote,Not specified,19250.0,Remote,Remote
DSMH-HIRING-,India,"₹2,56,870 - ₹2,56,874 a year",256872.0,India,India
Option Trader,"Mumbai, Maharashtra",Not specified,19250.0,Remote,Maharashtra
Trainee IPQA,"Baddi, Himachal Pradesh","₹1,00,000 - ₹2,00,000 a year",150000.0,Remote,Himachal Pradesh
QC (Apparel/Garment),"Tiruppur, Tamil Nadu","₹12,000 - ₹18,000 a month",15000.0,Remote,Tamil Nadu
Cashier,"Kazhakoottam, Thiruvananthapuram, Kerala","₹9,000 - ₹15,000 a month",12000.0,Kazhakoottam,Kerala
Business Development Associate,"Pune, Maharashtra","₹20,585.48 - ₹39,150.69 a month",29868.085,Remote,Maharashtra
Business Associate,"Sahibganj, Jharkhand","From ₹22,000 a month",19250.0,Remote,Jharkhand
HR Intern,Remote,"₹3,000 - ₹6,000 a month",4500.0,Remote,Remote
MEDICAL REPRESENTATIVE,"Kochi, Kerala","From ₹20,00,000 a year",19250.0,Remote,Kerala
Content Strategist & Writer,Remote,₹60 an hour,19250.0,Remote,Remote
Fresher-Bcom,"Delhi, Delhi","₹15,000 - ₹20,000 a month",17500.0,Remote,Delhi
Manager - Activation,"Tezpur, Assam",Not specified,19250.0,Remote,Assam
Business Analyst Fresher,"Goregaon, Mumbai, Maharashtra","₹1,80,000 a year",180000.0,Goregaon,Maharashtra
Non Voice Chat Process,"Badli, Delhi, Delhi","₹14,500 - ₹19,500 a month",17000.0,Badli,Delhi
General engineer trainee,"Erode, Tamil Nadu","₹15,000 - ₹22,000 a month",18500.0,Remote,Tamil Nadu
Physiotherapy Germany,"Greater Noida, Uttar Pradesh","₹2,00,000 - ₹2,50,000 a month",225000.0,Remote,Uttar Pradesh
Fresher Front End Developer,"Indore, Madhya Pradesh",Not specified,19250.0,Remote,Madhya Pradesh
Facilitator,"Ashoknagar, Madhya Pradesh","From ₹12,000 a month",19250.0,Remote,Madhya Pradesh
FRESHERS – TELECALLERS,"Hyderabad, Telangana",Not specified,19250.0,Remote,Telangana
Office Assistant,"Habra, West Bengal","₹7,000 - ₹8,000 a month",7500.0,Remote,West Bengal
PSM,"Jaipur, Rajasthan",Not specified,19250.0,Remote,Rajasthan
Management Trainee,"Delhi, Delhi","₹23,082 - ₹60,000 a month",41541.0,Remote,Delhi
Trainee Store,"Vypin, Kerala","From ₹10,000 a month",19250.0,Remote,Kerala
QC- Jr. Officer,"Pune, Maharashtra",Not specified,19250.0,Remote,Maharashtra
Website Designer & Developer,"Namakkal, Tamil Nadu","₹1,20,000 - ₹6,00,000 a year",360000.0,Remote,Tamil Nadu
